Name,Position,Appearances,Club,Age,Country
Leighton Clarkson,Midfielder,4,Blackburn Rovers,19 ,England
Curtis Nelson,Defender,11,Cardiff City,28 ,England
Jodi Jones,Forward,3,Coventry City,23 ,England
Jordan Gabriel,Defender,0,Nottingham Forest,22 ,England
Samuel John Bell,Forward,1,Bristol City,0 ,England
Tom Lawrence,Midfielder,7,Derby County,27 ,Wales
Nathan Thompson,Defender,8,Peterborough United,30 ,England
Josh Koroma,Midfielder,11,Huddersfield Town,22 ,England
Jérémy Bela,Midfielder,9,Birmingham City,28 ,Congo DR
Jaidon Anthony,Forward,1,AFC Bournemouth,21 ,England
Alex Mowatt,Midfielder,9,West Bromwich Albion,26 ,England
Jake Bidwell,Defender,10,Swansea City,28 ,England
Charlie Austin,Forward,7,Queens Park Rangers,32 ,England
Domingos Quina,Midfielder,3,Fulham,21 ,Portugal
Max Lowe,Defender,4,Nottingham Forest,24 ,England
Tom Huddlestone,Midfielder,3,Hull City,34 ,England
Rhys Williams,Defender,4,Swansea City,20 ,England
Darnell Furlong,Defender,9,West Bromwich Albion,25 ,England
Morgan Fox,Defender,2,Stoke City,27 ,Wales
Cedric Kipre,Defender,3,West Bromwich Albion,24 ,France
Ravel Morrison,Midfielder,9,Derby County,28 ,England
Andy Yiadom,Midfielder,11,Reading,29 ,Ghana
Josh Bowler,Midfielder,11,Blackpool,22 ,England
Jacob Brown,Forward,12,Stoke City,23 ,England
Rubin Colwill,Midfielder,3,Cardiff City,19 ,Wales
Liam Moore,Defender,8,Reading,28 ,England
Bartosz Bialkowski,Goalkeeper,9,Millwall,34 ,Poland
Kyle Bartley,Defender,9,West Bromwich Albion,30 ,England
Moses Odubajo,Defender,9,Queens Park Rangers,28 ,England
Wesley Foderingham,Goalkeeper,4,Sheffield United,30 ,England
Lewis Grabban,Forward,9,Nottingham Forest,33 ,England
Ryan Yates,Midfielder,10,Nottingham Forest,24 ,England
Conor Townsend,Defender,9,West Bromwich Albion,27 ,England
